2026/04/10 23:54:57 INFO CORS configuration loaded allowed_origins="[http://localhost:5173 http://127.0.0.1:5173]"
2026/04/10 23:54:57 INFO starting backend server address=:3000 environment=development
2026/04/10 23:55:21 INFO request completed request_id=9de9a9f6-15e7-4ee3-938f-ee9ea9de33d2 method=GET path=/api/health status=200 latency_ms=0 ip=127.0.0.1 origin=""
2026/04/10 23:55:43 WARN request completed request_id=91eaf08c-f42b-4990-9113-897d4e7d0ef6 method=GET path=/api/auth/me status=401 latency_ms=0 ip=127.0.0.1 origin=""
2026/04/10 23:55:43 INFO request completed request_id=3a6bc1df-89ca-42d9-a168-e4b6494dc03b method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=593 ip=127.0.0.1 origin=""
2026/04/10 23:56:04 INFO request completed request_id=f705a927-0335-45c8-bf79-401216977908 method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=265 ip=127.0.0.1 origin=""
2026/04/11 00:03:13 INFO request completed request_id=53e4ded0-0f89-44e0-993f-0c06a259620b method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=251 ip=127.0.0.1 origin=""
2026/04/11 00:08:42 INFO request completed request_id=58383c25-1dd0-4467-bf1a-f333927071b7 method=POST path=/api/auth/login status=200 latency_ms=670 ip=127.0.0.1 origin=http://localhost:5173
2026/04/11 00:08:42 INFO request completed request_id=3e133587-57dc-4d8f-b875-c101ae595604 method=GET path="/api/posts?page=1&limit=20" status=200 latency_ms=81 ip=127.0.0.1 origin=""
2026/04/11 00:08:47 INFO request completed request_id=f1a00c65-bbdf-4472-b754-4ab2fabc352a method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=217 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:47 INFO request completed request_id=639a3084-4541-4eb6-b285-70930a1049a5 method=GET path="/ws/chat?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiZGIyZmE5YWQtYjg3MC00ZTUyLWI5OTctYTA5ZDk0N2EzN2YyIiwicm9sZSI6ImFkbWluIiwiaXNzIjoiYW5vbnltb3VzLWNvbW11bmljYXRpb24tYmFja2VuZCIsInN1YiI6ImRiMmZhOWFkLWI4NzAtNGU1Mi1iOTk3LWEwOWQ5NDdhMzdmMiIsImV4cCI6MTc3NTg0NzIyMSwiaWF0IjoxNzc1ODQ2MzIxfQ.jNpZmDv_pBf0n4-4vgl7R-Uapjgg8vzI_4d9IqkN0Ww" status=101 latency_ms=0 ip=127.0.0.1 origin=http://localhost:5173
2026/04/11 00:08:47 INFO request completed request_id=08048c32-1cc1-454f-bd92-265c734a77fe method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=458 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:49 INFO request completed request_id=c8e4928d-e876-4907-9c5a-f0c79939b963 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=148 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:50 INFO request completed request_id=4e27be9a-a1ba-469a-a26f-d1d24efd169c method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=606 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:50 INFO request completed request_id=4c00f215-f6b6-4954-a481-98a094dee387 method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=205 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:52 INFO request completed request_id=084b8918-1795-44f9-9ef0-1fcada1fe43d method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=230 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:52 INFO request completed request_id=1e047cc5-fbdc-427f-ab92-d3aace8fa6dd method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=297 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:52 INFO request completed request_id=db6014cc-cfe7-4265-b5a1-fd859292841e method=GET path="/api/messages/5c7d1190-ca5b-43e1-b31b-19eeca548dc6?page=1&limit=50" status=200 latency_ms=235 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
2026/04/11 00:08:54 INFO request completed request_id=8f78e1db-43d3-4e91-a700-303b2bb43888 method=GET path="/api/messages/conversations?page=1&limit=20" status=200 latency_ms=161 ip=127.0.0.1 origin="" user_id=db2fa9ad-b870-4e52-b997-a09d947a37f2
